benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,optimized_fingerprint,original_fingerprint,optimized_support_size,original_support_size,optimized_fanin_count,original_fanin_count
generated_adder_4,balance,new_n48,5,new_n46,0.5013888888888889,0.75,0.2222222222222222,0.1111111111111111,1,9,c81633045c6eeaa2,cfd18bfa9d5f5272,2,9,2,2
generated_adder_4,balance,new_n49,1,new_n49,1.0,1.0,1.0,1.0,9,9,92371b78397fd8f6,92371b78397fd8f6,9,9,2,2
generated_adder_4,balance,new_n49,2,new_n45,0.725,0.5,1.0,1.0,9,9,92371b78397fd8f6,66d5aace10a95352,9,9,2,2
generated_adder_4,balance,new_n49,3,new_n46,0.725,0.5,1.0,1.0,9,9,92371b78397fd8f6,cfd18bfa9d5f5272,9,9,2,2
generated_adder_4,balance,new_n49,4,new_n43,0.7180555555555556,0.75,0.7777777777777778,0.3333333333333333,9,7,92371b78397fd8f6,393e67c0209b96d7,9,7,2,2
generated_adder_4,balance,new_n49,5,new_n37,0.6493055555555555,0.625,0.7777777777777778,0.3333333333333333,9,7,92371b78397fd8f6,fc3ae64897cda2dd,9,7,2,2
generated_adder_4,compress2rs,new_n15,1,new_n24,1.0,1.0,1.0,1.0,1,1,47c57d9752e083e9,47c57d9752e083e9,2,2,2,2
generated_adder_4,compress2rs,new_n15,2,new_n17,0.8125,0.75,1.0,0.5,1,2,47c57d9752e083e9,5fb1824d9692e39a,2,2,2,2
generated_adder_4,compress2rs,new_n15,3,new_n15,0.725,0.5,1.0,1.0,1,1,47c57d9752e083e9,7bd75205b989a663,2,2,2,2
generated_adder_4,compress2rs,new_n15,4,new_n16,0.725,0.5,1.0,1.0,1,1,47c57d9752e083e9,235b1e44a2ae2a5f,2,2,2,2
generated_adder_4,compress2rs,new_n15,5,new_n19,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,1,3,47c57d9752e083e9,dc06a37141f84a2b,2,3,2,2
generated_adder_4,compress2rs,new_n16,1,new_n17,0.8125,0.75,1.0,0.5,1,2,195a31d31a92fbdb,5fb1824d9692e39a,2,2,2,2
generated_adder_4,compress2rs,new_n16,2,new_n15,0.725,0.5,1.0,1.0,1,1,195a31d31a92fbdb,7bd75205b989a663,2,2,2,2
generated_adder_4,compress2rs,new_n16,3,new_n16,0.725,0.5,1.0,1.0,1,1,195a31d31a92fbdb,235b1e44a2ae2a5f,2,2,2,2
generated_adder_4,compress2rs,new_n16,4,new_n24,0.725,0.5,1.0,1.0,1,1,195a31d31a92fbdb,47c57d9752e083e9,2,2,2,2
generated_adder_4,compress2rs,new_n16,5,new_n19,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,1,3,195a31d31a92fbdb,dc06a37141f84a2b,2,3,2,2
generated_adder_4,compress2rs,new_n17,1,new_n15,0.8125,0.75,1.0,0.5,2,1,ac2a0f6602b68b74,7bd75205b989a663,2,2,2,2
generated_adder_4,compress2rs,new_n17,2,new_n16,0.8125,0.75,1.0,0.5,2,1,ac2a0f6602b68b74,235b1e44a2ae2a5f,2,2,2,2
generated_adder_4,compress2rs,new_n17,3,new_n18,0.6958333333333334,0.75,0.6666666666666666,0.5,2,3,ac2a0f6602b68b74,38a1a370d3f79f4b,2,3,2,2
