benchmark,optimization,optimized_node,original_candidate,sat_status,union_support_size,exact_distance,sample_size,seed,sampled_distance,absolute_error,exact_rank,sampled_rank,absolute_rank_delta
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,512,1,0.236328125,0.013671875,18.5,17.0,1.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,512,2,0.236328125,0.013671875,18.5,17.0,1.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,512,3,0.220703125,0.029296875,18.5,15.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,512,4,0.267578125,0.017578125,18.5,22.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,1024,0,0.244140625,0.005859375,18.5,17.0,1.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,1024,1,0.2666015625,0.0166015625,18.5,22.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,1024,2,0.259765625,0.009765625,18.5,20.0,1.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,1024,3,0.2626953125,0.0126953125,18.5,22.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,1024,4,0.2421875,0.0078125,18.5,18.5,0.0
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,4096,0,0.256591796875,0.006591796875,18.5,22.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,4096,1,0.257568359375,0.007568359375,18.5,22.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,4096,2,0.256103515625,0.006103515625,18.5,21.0,2.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,4096,3,0.236328125,0.013671875,18.5,15.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,4096,4,0.2529296875,0.0029296875,18.5,17.5,1.0
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,8192,0,0.2674560546875,0.0174560546875,18.5,22.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,8192,1,0.2520751953125,0.0020751953125,18.5,21.0,2.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,8192,2,0.2493896484375,0.0006103515625,18.5,20.0,1.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,8192,3,0.2562255859375,0.0062255859375,18.5,20.0,1.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,8192,4,0.244384765625,0.005615234375,18.5,16.0,2.5
external_iscas85_c3540,rewrite_z,new_n533,new_n615,rejected,9,0.513671875,128,0,0.5703125,0.056640625,26.0,26.0,0.0
external_iscas85_c3540,rewrite_z,new_n533,new_n615,rejected,9,0.513671875,128,1,0.453125,0.060546875,26.0,24.0,2.0
